Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,FRZ,PBF,SKJ,TUN,YFT
1959,USA,15.5,-98.5,0,0,0,0,0,0,0,0,121.4
1959,USA,15.5,-97.5,0,0,0,0,0,0,0,0,26.2
1959,USA,16.5,-101.5,0,0,0,0,0,0,0,0,30.8
1959,USA,16.5,-100.5,0,0,0,0,0,0,0,0,216
1959,USA,16.5,-99.5,0,0,0,0,0,0,0,0,121.5
1959,USA,16.5,-98.5,0,0,0,0,0,0,0,0,20.9
1959,USA,17.5,-101.5,0,0,0,0,0,0,0,0,92.4
1959,USA,18.5,-104.5,0,0,0,0,0,0,0,0,0
1959,USA,18.5,-103.5,0,0,0,0,0,0,0,0,5.4
1959,USA,19.5,-104.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-111.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-109.5,0,0,0,0,0,0,0,0,0
1959,USA,23.5,-108.5,0,0,0,0,0,0,0,0,17.2
1959,USA,25.5,-113.5,0,0,0,0,0,0,0,0,22.7
1960,USA,-3.5,-81.5,0,0,0,0,0,0,106.62,0,55.47
1960,USA,-3.5,-80.5,0,0,0,0,0,0,114.2,0,18.1
1960,USA,6.5,-81.5,0,0,0,0,0,0,0,0,2.7
1960,USA,7.5,-85.5,0,0,0,0,0,0,0,0,0
1960,USA,7.5,-84.5,0,0,0,0,0,0,0,0,0
1960,USA,7.5,-81.5,0,0,0,0,0,0,0,0,29
1960,USA,7.5,-80.5,0,0,0,0,0,0,0,0,28.1
1960,USA,8.5,-84.5,0,0,0,0,0,0,3.6,0,4.5
1960,USA,9.5,-84.5,0,0,0,0,0,0,0.9,0,77.1
1960,USA,13.5,-97.5,0,0,0,0,0,0,0,0,0
1960,USA,14.5,-98.5,0,0,0,0,0,0,0,0,77.1
1960,USA,14.5,-97.5,0,0,0,0,0,0,0,0,993.3
1960,USA,14.5,-96.5,0,0,0,0,0,0,0,0,81.6
1960,USA,15.5,-101.5,0,0,0,0,0,0,0,0,38.1
1960,USA,15.5,-100.5,0,0,0,0,0,0,0,0,158.7
1960,USA,15.5,-99.5,0,0,0,0,0,0,0,0,320.3
1960,USA,15.5,-98.5,0,0,0,0,0,0,0,0,1191
1960,USA,15.5,-97.5,0,0,0,0,0,0,0,0,1067
1960,USA,15.5,-96.5,0,0,0,0,0,0,0,0,27.2
1960,USA,16.5,-101.5,0,0,0,0,0,0,0,0,59.9
1960,USA,16.5,-100.5,0,0,0,0,0,0,0,0,453.6
1960,USA,16.5,-99.5,0,0,0,0,0,0,0,0,578.1
1960,USA,16.5,-98.5,0,0,0,0,0,0,0,0,122.5
1960,USA,17.5,-102.5,0,0,0,0,0,0,0,0,42.6
1960,USA,17.5,-101.5,0,0,0,0,0,0,0,0,536.9
1960,USA,18.5,-105.5,0,0,0,0,0,0,0,0,49.9
1960,USA,18.5,-104.5,0,0,0,0,0,0,0,0,36.3
1960,USA,18.5,-103.5,0,0,0,0,0,0,0,0,0
1960,USA,19.5,-106.5,0,0,0,0,0,0,0,0,0
1960,USA,19.5,-105.5,0,0,0,0,0,0,0,0,18.1
1960,USA,20.5,-106.5,0,0,0,0,0,0,0,0,0
1960,USA,21.5,-107.5,0,0,0,0,0,0,0,0,39.9
1960,USA,21.5,-106.5,0,0,0,0,0,0,0,0,78.9
1960,USA,23.5,-108.5,0,0,0,0,0,0,0,0,1.8
1960,USA,24.5,-109.5,0,0,0,0,0,0,0,0,0
1960,USA,32.5,-119.5,0,0,0,0,0,97.9,0,0,0
1960,USA,32.5,-118.5,0,0,0,0,0,0,0,0,0
1960,USA,33.5,-118.5,0,0,0,0,0,0,0,0,0
