Year,Flag,Lat,Lon,BSH,CCL,FAL,MAK,OCS,RSK,SKH,SMA,SPN,THR
1980,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-27.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,MEX,12.5,-92.5,0,0,0,0,0,0,0,0,0,0
1980,MEX,17.5,-97.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-117.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-17.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-12.5,-122.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-132.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-7.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-142.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-127.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,-2.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-102.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,2.5,-97.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-112.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,22.5,-107.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,32.5,-147.5,0,0,0,0,0,0,0,0,0,0
1980,KOR,32.5,-137.5,0,0,0,0,0,0,0,0,0,0
1980,MEX,17.5,-97.5,0,0,0,0,0,0,0,0,0,0
1980,TWN,-22.5,-122.5,0,0,0,0,0,0,1.04,0,0,0
1981,KOR,-22.5,-147.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-142.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-137.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-132.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-127.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-122.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-22.5,-117.5,0,0,0,0,0,0,0,0,0,0
1981,KOR,-17.5,-147.5,0,0,0,0,0,0,0,0,0,0
