BigCellID,BigCellTypeID,x,y,Pacific
689,1,-176.5,-58.5,1
690,1,-176.5,-59.5,1
691,1,-176.5,-60.5,1
692,1,-176.5,-61.5,1
693,1,-176.5,-62.5,1
694,1,-176.5,-63.5,1
695,1,-176.5,-64.5,1
696,1,-176.5,-65.5,1
697,1,-176.5,-66.5,1
698,1,-176.5,-67.5,1
699,1,-176.5,-68.5,1
700,1,-176.5,-69.5,1
701,1,-176.5,-70.5,1
702,1,-176.5,-71.5,1
703,1,-176.5,-72.5,1
704,1,-176.5,-73.5,1
705,1,-176.5,-74.5,1
706,1,-176.5,-75.5,1
707,1,-176.5,-76.5,1
708,1,-176.5,-77.5,1
709,1,-176.5,-78.5,1
710,1,-176.5,-79.5,1
711,1,-176.5,-80.5,1
712,1,-176.5,-81.5,1
713,1,-176.5,-82.5,1
714,1,-176.5,-83.5,1
715,1,-176.5,-84.5,1
739,1,-175.5,71.5,0
740,1,-175.5,70.5,0
741,1,-175.5,69.5,0
742,1,-175.5,68.5,0
743,1,-175.5,67.5,0
745,1,-175.5,65.5,1
746,1,-175.5,64.5,1
747,1,-175.5,63.5,1
748,1,-175.5,62.5,1
749,1,-175.5,61.5,1
750,1,-175.5,60.5,1
751,1,-175.5,59.5,1
752,1,-175.5,58.5,1
753,1,-175.5,57.5,1
754,1,-175.5,56.5,1
755,1,-175.5,55.5,1
756,1,-175.5,54.5,1
757,1,-175.5,53.5,1
758,1,-175.5,52.5,1
759,1,-175.5,51.5,1
760,1,-175.5,50.5,1
761,1,-175.5,49.5,1
762,1,-175.5,48.5,1
763,1,-175.5,47.5,1
764,1,-175.5,46.5,1
765,1,-175.5,45.5,1
766,1,-175.5,44.5,1
767,1,-175.5,43.5,1
768,1,-175.5,42.5,1
769,1,-175.5,41.5,1
770,1,-175.5,40.5,1
771,1,-175.5,39.5,1
772,1,-175.5,38.5,1
773,1,-175.5,37.5,1
774,1,-175.5,36.5,1
775,1,-175.5,35.5,1
776,1,-175.5,34.5,1
777,1,-175.5,33.5,1
778,1,-175.5,32.5,1
779,1,-175.5,31.5,1
780,1,-175.5,30.5,1
781,1,-175.5,29.5,1
782,1,-175.5,28.5,1
783,1,-175.5,27.5,1
784,1,-175.5,26.5,1
785,1,-175.5,25.5,1
786,1,-175.5,24.5,1
787,1,-175.5,23.5,1
788,1,-175.5,22.5,1
789,1,-175.5,21.5,1
790,1,-175.5,20.5,1
791,1,-175.5,19.5,1
792,1,-175.5,18.5,1
793,1,-175.5,17.5,1
794,1,-175.5,16.5,1
795,1,-175.5,15.5,1
796,1,-175.5,14.5,1
797,1,-175.5,13.5,1
798,1,-175.5,12.5,1
799,1,-175.5,11.5,1
800,1,-175.5,10.5,1
801,1,-175.5,9.5,1
802,1,-175.5,8.5,1
803,1,-175.5,7.5,1
804,1,-175.5,6.5,1
805,1,-175.5,5.5,1
806,1,-175.5,4.5,1
807,1,-175.5,3.5,1
808,1,-175.5,2.5,1
809,1,-175.5,1.5,1
810,1,-175.5,0.5,1
811,1,-175.5,-0.5,1
812,1,-175.5,-1.5,1
813,1,-175.5,-2.5,1
814,1,-175.5,-3.5,1
815,1,-175.5,-4.5,1
816,1,-175.5,-5.5,1
817,1,-175.5,-6.5,1
818,1,-175.5,-7.5,1
819,1,-175.5,-8.5,1
820,1,-175.5,-9.5,1
821,1,-175.5,-10.5,1
822,1,-175.5,-11.5,1
823,1,-175.5,-12.5,1
824,1,-175.5,-13.5,1
825,1,-175.5,-14.5,1
826,1,-175.5,-15.5,1
827,1,-175.5,-16.5,1
828,1,-175.5,-17.5,1
829,1,-175.5,-18.5,1
830,1,-175.5,-19.5,1
831,1,-175.5,-20.5,1
832,1,-175.5,-21.5,1
833,1,-175.5,-22.5,1
834,1,-175.5,-23.5,1
835,1,-175.5,-24.5,1
836,1,-175.5,-25.5,1
837,1,-175.5,-26.5,1
838,1,-175.5,-27.5,1
839,1,-175.5,-28.5,1
840,1,-175.5,-29.5,1
841,1,-175.5,-30.5,1
842,1,-175.5,-31.5,1
843,1,-175.5,-32.5,1
844,1,-175.5,-33.5,1
845,1,-175.5,-34.5,1
846,1,-175.5,-35.5,1
847,1,-175.5,-36.5,1
848,1,-175.5,-37.5,1
849,1,-175.5,-38.5,1
850,1,-175.5,-39.5,1
851,1,-175.5,-40.5,1
852,1,-175.5,-41.5,1
853,1,-175.5,-42.5,1
854,1,-175.5,-43.5,1
855,1,-175.5,-44.5,1
856,1,-175.5,-45.5,1
857,1,-175.5,-46.5,1
858,1,-175.5,-47.5,1
859,1,-175.5,-48.5,1
860,1,-175.5,-49.5,1
861,1,-175.5,-50.5,1
862,1,-175.5,-51.5,1
863,1,-175.5,-52.5,1
864,1,-175.5,-53.5,1
865,1,-175.5,-54.5,1
866,1,-175.5,-55.5,1
867,1,-175.5,-56.5,1
868,1,-175.5,-57.5,1
869,1,-175.5,-58.5,1
870,1,-175.5,-59.5,1
871,1,-175.5,-60.5,1
872,1,-175.5,-61.5,1
873,1,-175.5,-62.5,1
874,1,-175.5,-63.5,1
875,1,-175.5,-64.5,1
876,1,-175.5,-65.5,1
877,1,-175.5,-66.5,1
878,1,-175.5,-67.5,1
879,1,-175.5,-68.5,1
880,1,-175.5,-69.5,1
881,1,-175.5,-70.5,1
882,1,-175.5,-71.5,1
883,1,-175.5,-72.5,1
884,1,-175.5,-73.5,1
885,1,-175.5,-74.5,1
886,1,-175.5,-75.5,1
887,1,-175.5,-76.5,1
888,1,-175.5,-77.5,1
889,1,-175.5,-78.5,1
890,1,-175.5,-79.5,1
891,1,-175.5,-80.5,1
892,1,-175.5,-81.5,1
893,1,-175.5,-82.5,1
894,1,-175.5,-83.5,1
895,1,-175.5,-84.5,1
918,1,-174.5,72.5,0
919,1,-174.5,71.5,0
920,1,-174.5,70.5,0
921,1,-174.5,69.5,0
922,1,-174.5,68.5,0
923,1,-174.5,67.5,0
924,1,-174.5,66.5,0
926,1,-174.5,64.5,1
927,1,-174.5,63.5,1
928,1,-174.5,62.5,1
929,1,-174.5,61.5,1
930,1,-174.5,60.5,1
931,1,-174.5,59.5,1
932,1,-174.5,58.5,1
933,1,-174.5,57.5,1
934,1,-174.5,56.5,1
935,1,-174.5,55.5,1
936,1,-174.5,54.5,1
937,1,-174.5,53.5,1
938,1,-174.5,52.5,1
939,1,-174.5,51.5,1
940,1,-174.5,50.5,1
941,1,-174.5,49.5,1
942,1,-174.5,48.5,1
943,1,-174.5,47.5,1
944,1,-174.5,46.5,1
945,1,-174.5,45.5,1
946,1,-174.5,44.5,1
947,1,-174.5,43.5,1
948,1,-174.5,42.5,1
949,1,-174.5,41.5,1
950,1,-174.5,40.5,1
951,1,-174.5,39.5,1
952,1,-174.5,38.5,1
953,1,-174.5,37.5,1
954,1,-174.5,36.5,1
955,1,-174.5,35.5,1
956,1,-174.5,34.5,1
957,1,-174.5,33.5,1
958,1,-174.5,32.5,1
959,1,-174.5,31.5,1
960,1,-174.5,30.5,1
961,1,-174.5,29.5,1
962,1,-174.5,28.5,1
963,1,-174.5,27.5,1
964,1,-174.5,26.5,1
965,1,-174.5,25.5,1
966,1,-174.5,24.5,1
967,1,-174.5,23.5,1
968,1,-174.5,22.5,1
969,1,-174.5,21.5,1
970,1,-174.5,20.5,1
971,1,-174.5,19.5,1
972,1,-174.5,18.5,1
973,1,-174.5,17.5,1
974,1,-174.5,16.5,1
975,1,-174.5,15.5,1
976,1,-174.5,14.5,1
977,1,-174.5,13.5,1
978,1,-174.5,12.5,1
979,1,-174.5,11.5,1
980,1,-174.5,10.5,1
981,1,-174.5,9.5,1
982,1,-174.5,8.5,1
983,1,-174.5,7.5,1
984,1,-174.5,6.5,1
985,1,-174.5,5.5,1
986,1,-174.5,4.5,1
987,1,-174.5,3.5,1
988,1,-174.5,2.5,1
989,1,-174.5,1.5,1
990,1,-174.5,0.5,1
991,1,-174.5,-0.5,1
992,1,-174.5,-1.5,1
993,1,-174.5,-2.5,1
994,1,-174.5,-3.5,1
995,1,-174.5,-4.5,1
996,1,-174.5,-5.5,1
997,1,-174.5,-6.5,1
998,1,-174.5,-7.5,1
999,1,-174.5,-8.5,1
1000,1,-174.5,-9.5,1
1001,1,-174.5,-10.5,1
1002,1,-174.5,-11.5,1
1003,1,-174.5,-12.5,1
1004,1,-174.5,-13.5,1
1005,1,-174.5,-14.5,1
1006,1,-174.5,-15.5,1
1007,1,-174.5,-16.5,1
1008,1,-174.5,-17.5,1
1009,1,-174.5,-18.5,1
1010,1,-174.5,-19.5,1
1011,1,-174.5,-20.5,1
1012,1,-174.5,-21.5,1
1013,1,-174.5,-22.5,1
1014,1,-174.5,-23.5,1
1015,1,-174.5,-24.5,1
1016,1,-174.5,-25.5,1
1017,1,-174.5,-26.5,1
1018,1,-174.5,-27.5,1
1019,1,-174.5,-28.5,1
1020,1,-174.5,-29.5,1
1021,1,-174.5,-30.5,1
1022,1,-174.5,-31.5,1
1023,1,-174.5,-32.5,1
1024,1,-174.5,-33.5,1
1025,1,-174.5,-34.5,1
1026,1,-174.5,-35.5,1
1027,1,-174.5,-36.5,1
1028,1,-174.5,-37.5,1
1029,1,-174.5,-38.5,1
1030,1,-174.5,-39.5,1
1031,1,-174.5,-40.5,1
1032,1,-174.5,-41.5,1
1033,1,-174.5,-42.5,1
1034,1,-174.5,-43.5,1
1035,1,-174.5,-44.5,1
