Year,Flag,Lat,Lon,ALB,BET,BKJ,BZX,PBF,SKJ,TUN,YFT
1978,USA,31.5,-118.5,5,0,0,0,0,0,0,0
1978,USA,31.5,-117.5,0.9,0,0,0,0,0,0,0
1978,USA,32.5,-118.5,2,0,0,0,0,0,0,0
1978,USA,34.5,-122.5,1.4,0,0,0,0,0,0,0
1978,USA,34.5,-121.5,18.1,0,0,0,0,0,0,0
1978,USA,34.5,-120.5,9.9,0,0,0,0,0,0,0
1978,USA,34.5,-119.5,1.5,0,0,0,0,0,0,0
1978,USA,35.5,-123.5,30.9,0,0,0,0,0,0,0
1978,USA,35.5,-122.5,7.9,0,0,0,0,0,0,0
1978,USA,35.5,-121.5,9.3,0,0,0,0,0,0,0
1978,USA,35.5,-120.5,51.4,0,0,0,0,0,0,0
1978,USA,36.5,-123.5,6.5,0,0,0,0,0,0,0
1978,USA,36.5,-122.5,81.6,0,0,0,0,0,0,0
1978,USA,36.5,-121.5,0.9,0,0,0,0,0,0,0
1978,USA,37.5,-123.5,54.9,0,0,0,0,0,0,0
1978,USA,37.5,-122.5,0.2,0,0,0,0,0,0,0
1978,USA,40.5,-123.5,3.2,0,0,0,0,0,0,0
1978,USA,46.5,-124.5,7.1,0,0,0,0,0,0,0
1978,MEX,21.5,-112.5,0,0,0,0,0,2,0,5
1978,MEX,26.5,-115.5,0,0,0,0,0,20.1984,0,3.301595
1978,MEX,26.5,-114.5,0,0,0,0,0,39,0,0
1978,MEX,28.5,-115.5,0,0,0,0,0,0.2,0,0
1978,USA,18.5,-114.5,0,0,0,0,0,2.7,0,0
1978,USA,19.5,-112.5,0,0,0,0,0,9.6,0,0
1978,USA,23.5,-113.5,0,0,0,0,0,1.514429,0,1.185571
1978,USA,25.5,-115.5,0,0,0,0,0,2.524048,0,1.975952
1978,USA,25.5,-114.5,0,0,0,0,0,55.39875,0,12.60125
1978,USA,25.5,-112.5,0,0,0,0,0,4.48526,0,1.11474
1978,USA,26.5,-115.5,0,0,0,0,0,23.6,0,0
1978,USA,26.5,-114.5,0,0,0,0,0,254.7979,0,106.1021
1978,USA,27.5,-114.5,0,0,0,0,0,1.514429,0,1.185571
1978,USA,28.5,-115.5,0,0,0,0,0,9.642664,0,7.157336
1978,USA,32.5,-123.5,1.4,0,0,0,0,0,0,0
1978,USA,32.5,-117.5,3.2,0,0,0,0,0.5,0,0
1978,USA,34.5,-122.5,1.1,0,0,0,0,0,0,0
1978,USA,34.5,-119.5,6.5,0,0,0,0,0,0,0
1978,USA,35.5,-123.5,10.4,0,0,0,0,0,0,0
1978,USA,35.5,-122.5,32.3,0,0,0,0,0,0,0
1978,USA,35.5,-120.5,8.2,0,0,0,0,0,0,0
1978,USA,36.5,-123.5,0.5,0,0,0,0,0,0,0
1978,USA,36.5,-122.5,30.2,0,0,0,0,0,0,0
1978,USA,37.5,-123.5,2,0,0,0,0,0,0,0
1978,USA,37.5,-122.5,8.8,0,0,0,0,0,0,0
1978,USA,40.5,-124.5,0.2,0,0,0,0,0,0,0
1978,MEX,24.5,-112.5,0,0,0,0,0,0.5,0,0
1978,MEX,25.5,-113.5,0,0,0,0,0,10,0,5
1978,MEX,26.5,-115.5,0,0,0,0,0,26.5,0,8
1978,MEX,26.5,-114.5,0,0,0,0,0,0,0,0.5
1978,USA,16.5,-117.5,0,0,0,0,0,9.1,0,1.8
1978,USA,18.5,-114.5,0,0,0,0,0,1.8,0,2.7
1978,USA,19.5,-112.5,0,0,0,0,0,39.84329,0,52.45671
1978,USA,25.5,-114.5,0,0,0,0,0,8.319239,0,16.98076
