Year,Flag,Lat,Lon,BIL,BLM,BUM,MLS,SFA,SSP,SWO
1993,ECU,-11.5,-83.5,0,0,1,0,0,0,0
1993,ECU,-11.5,-82.5,0,1,0,0,0,0,0
1993,ECU,-11.5,-81.5,0,0,0,0,0,0,0
1993,ECU,-10.5,-85.5,0,0,0,0,0,0,0
1993,ECU,-10.5,-82.5,5,0,0,0,0,0,0
1993,ECU,-9.5,-84.5,0,2,0,0,0,0,0
1993,ECU,-9.5,-83.5,0,0,0,2,0,0,0
1993,ECU,-8.5,-85.5,0,0,0,0,0,0,0
1993,ECU,-8.5,-84.5,0,0,0,0,0,0,0
1993,ECU,-7.5,-85.5,0,0,0,0,0,0,0
1993,ECU,-7.5,-84.5,0,0,0,0,0,0,0
1993,ECU,-7.5,-81.5,0,0,0,0,0,0,0
1993,ECU,-6.5,-84.5,0,2,0,0,0,0,0
1993,MEX,-18.5,-78.5,0,1,0,0,0,0,0
1993,MEX,-17.5,-78.5,0,0,1,0,0,0,0
1993,MEX,-17.5,-77.5,0,0,0,0,0,0,0
1993,MEX,-16.5,-82.5,0,0,0,1,0,0,0
1993,MEX,-16.5,-81.5,0,0,0,0,0,0,0
1993,MEX,-16.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-16.5,-79.5,0,0,0,0,0,0,0
1993,MEX,-16.5,-78.5,0,0,0,0,0,0,0
1993,MEX,-15.5,-82.5,0,0,0,0,0,0,0
1993,MEX,-15.5,-81.5,0,0,3,2,0,0,0
1993,MEX,-15.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-14.5,-82.5,0,0,0,0,0,0,0
1993,MEX,-14.5,-81.5,0,1,0,0,0,0,0
1993,MEX,-13.5,-82.5,0,0,0,0,0,0,0
1993,MEX,-13.5,-81.5,0,0,0,0,0,0,0
1993,MEX,-13.5,-80.5,0,0,1,0,0,0,0
1993,MEX,-12.5,-83.5,0,0,0,0,0,0,0
1993,MEX,-12.5,-80.5,0,0,0,0,0,0,0
1993,MEX,-11.5,-83.5,0,0,0,0,0,0,0
1993,MEX,-11.5,-82.5,0,0,1,9,0,0,0
1993,MEX,-11.5,-81.5,0,0,6,0,0,0,0
1993,MEX,-10.5,-85.5,0,0,0,0,0,0,0
1993,MEX,-9.5,-85.5,0,0,0,0,0,0,0
1993,MEX,-5.5,-85.5,0,0,0,0,0,0,0
1993,MEX,7.5,-96.5,0,0,0,0,0,0,0
1993,MEX,8.5,-103.5,0,0,0,0,0,0,0
1993,MEX,8.5,-98.5,0,0,0,0,0,0,0
1993,MEX,8.5,-95.5,0,0,0,0,0,0,0
1993,MEX,9.5,-105.5,0,0,0,0,0,0,0
1993,MEX,9.5,-104.5,0,0,0,0,0,0,0
1993,MEX,9.5,-103.5,0,0,0,0,0,0,0
1993,MEX,10.5,-104.5,0,0,0,0,2,0,0
1993,MEX,10.5,-103.5,0,0,0,0,0,0,0
1993,MEX,11.5,-107.5,0,0,0,0,0,0,0
1993,MEX,11.5,-106.5,0,0,0,0,0,0,0
1993,MEX,11.5,-104.5,0,0,0,0,0,0,0
1993,MEX,12.5,-108.5,0,0,0,0,0,0,0
1993,MEX,12.5,-107.5,0,0,0,0,0,0,0
1993,MEX,12.5,-106.5,0,0,0,0,0,0,0
1993,MEX,12.5,-105.5,0,0,0,0,0,0,0
