Lat	Lon	x	y	BigCellTypeID
20N	150E	152.5	22.5	2
30N	150E	152.5	32.5	2
15N	150E	152.5	17.5	2
25N	150E	152.5	27.5	2
35N	150E	152.5	37.5	2
40N	150E	152.5	42.5	2
00N	155E	157.5	2.5	2
05N	155E	157.5	7.5	2
10N	155E	157.5	12.5	2
15N	155E	157.5	17.5	2
30N	155E	157.5	32.5	2
20N	155E	157.5	22.5	2
35N	155E	157.5	37.5	2
