Year,Month,Lat,Lon,skj_c_una,yft_c_una,bet_c_una,oth_c_una,skj_c_log,yft_c_log,bet_c_log,oth_c_log,skj_c_dfad,yft_c_dfad,bet_c_dfad,oth_c_dfad,skj_c_afad,yft_c_afad,bet_c_afad,oth_c_afad,skj_c_oth,yft_c_oth,bet_c_oth,oth_c_oth
1971,7,30N,140E,397.2,100.9,16.2,0.2,672.9,167,14.4,2,2,6,0,0,0,0,0,0,14.4,2.3,0,0
1971,7,30N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,35N,140E,97.6,139,0,49.2,435.3,137.3,0,471,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,7,45N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,8,35N,140E,18.5,46.2,0,53.7,42.9,83.7,0,78.6,0,0,0,0,0,0,0,0,21,0,0,0
1971,8,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,9,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,9,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,9,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,00N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,20S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,10,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,00N,135E,0,0,0,0,106.47,153.636,17.332,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,00N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,05S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,15S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,11,20S,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,00N,135E,0,0,0,0,117.766,157.098,17.874,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,00N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,05N,120E,0,0,0,0,79.845,115.23,13.005,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,05N,125E,0,0,0,0,79.857,115.216,12.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,05N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,12,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,00N,135E,0,0,0,0,139.962,181.266,20.996,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,1,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,2,00N,135E,0,0,0,0,344.135,235.738,30.947,8,0,0,0,0,0,0,0,0,0,0,0,0
1972,2,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,2,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,2,05N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,3,00N,135E,0,0,0,0,132.758,159.876,19.59,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,3,00N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,3,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,3,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,3,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,4,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,4,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,4,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,4,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,4,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,25N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,30N,140E,214.1,13.8,0,0,361.4,11.7,0,10.5,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,35N,140E,714.4,22.8,0,180.2,1498.8,2.6,14.6,269.5,0,0,0,0,0,0,0,0,0,0,0,0
1972,5,45N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,25N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,30N,135E,70.2,0,0,0,106.3,20.6,0,52.8,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,30N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,35N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,35N,140E,1992.7,17.4,0.5,200.8,3500.3,47,0,567.6,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,6,45N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,30N,145E,24.7,88.9,0,0,176.5,639.4,1.7,0,0,0,0,0,0,0,0,0,2,0,0,0
1972,7,35N,140E,537.3,2.6,0,60.5,1572.3,96.5,6.9,236.5,0,0,0,0,0,0,0,0,49,0,0,0
1972,7,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,35N,150E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,7,40N,140E,39.9,0,0,129.9,38.7,11,0,227.6,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,30N,130E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,30N,140E,4.2,344.8,0,0,69.1,1354,33,1,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,35N,140E,36.3,213.7,0,63.6,219.4,134.4,0,56.2,0,0,0,0.2,0,0,0,0,3.6,0,0,0
1972,8,35N,145E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,8,40N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,30N,135E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,30N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,35N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,9,40N,140E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,10,00N,135E,0,0,0,0,120.568,154.994,18.662,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,10,05N,120E,0,0,0,0,90.42,116.25,13.995,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,10,05N,125E,0,0,0,0,90.421,116.242,14.003,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,10,35N,140E,0,0,0,75.8,0,0,0,113.4,0,0,0,0,0,0,0,0,0,0,0,0
