big_cell_id,big_cell_type_id,x,y,is_land_locked,is_in_med,is_in_pacific,is_in_indian
144,1,-179.5,-53.5,0,0,1,0
145,1,-179.5,-54.5,0,0,1,0
146,1,-179.5,-55.5,0,0,1,0
147,1,-179.5,-56.5,0,0,1,0
148,1,-179.5,-57.5,0,0,1,0
149,1,-179.5,-58.5,0,0,1,0
150,1,-179.5,-59.5,0,0,1,0
151,1,-179.5,-60.5,0,0,1,0
152,1,-179.5,-61.5,0,0,1,0
153,1,-179.5,-62.5,0,0,1,0
154,1,-179.5,-63.5,0,0,1,0
155,1,-179.5,-64.5,0,0,1,0
156,1,-179.5,-65.5,0,0,1,0
157,1,-179.5,-66.5,0,0,1,0
158,1,-179.5,-67.5,0,0,1,0
159,1,-179.5,-68.5,0,0,1,0
160,1,-179.5,-69.5,0,0,1,0
161,1,-179.5,-70.5,0,0,1,0
162,1,-179.5,-71.5,0,0,1,0
163,1,-179.5,-72.5,0,0,1,0
164,1,-179.5,-73.5,0,0,1,0
165,1,-179.5,-74.5,0,0,1,0
166,1,-179.5,-75.5,0,0,1,0
167,1,-179.5,-76.5,0,0,1,0
168,1,-179.5,-77.5,0,0,1,0
169,1,-179.5,-78.5,0,0,1,0
170,1,-179.5,-79.5,0,0,1,0
171,1,-179.5,-80.5,0,0,1,0
172,1,-179.5,-81.5,0,0,1,0
173,1,-179.5,-82.5,0,0,1,0
174,1,-179.5,-83.5,0,0,1,0
175,1,-179.5,-84.5,0,0,1,0
200,1,-178.5,70.5,0,0,0,0
201,1,-178.5,69.5,0,0,0,0
202,1,-178.5,68.5,0,0,0,0
204,1,-178.5,66.5,0,0,1,0
205,1,-178.5,65.5,0,0,1,0
206,1,-178.5,64.5,0,0,1,0
207,1,-178.5,63.5,0,0,1,0
208,1,-178.5,62.5,0,0,1,0
209,1,-178.5,61.5,0,0,1,0
210,1,-178.5,60.5,0,0,1,0
211,1,-178.5,59.5,0,0,1,0
212,1,-178.5,58.5,0,0,1,0
213,1,-178.5,57.5,0,0,1,0
214,1,-178.5,56.5,0,0,1,0
215,1,-178.5,55.5,0,0,1,0
216,1,-178.5,54.5,0,0,1,0
217,1,-178.5,53.5,0,0,1,0
218,1,-178.5,52.5,0,0,1,0
219,1,-178.5,51.5,0,0,1,0
220,1,-178.5,50.5,0,0,1,0
221,1,-178.5,49.5,0,0,1,0
222,1,-178.5,48.5,0,0,1,0
223,1,-178.5,47.5,0,0,1,0
224,1,-178.5,46.5,0,0,1,0
225,1,-178.5,45.5,0,0,1,0
226,1,-178.5,44.5,0,0,1,0
227,1,-178.5,43.5,0,0,1,0
228,1,-178.5,42.5,0,0,1,0
229,1,-178.5,41.5,0,0,1,0
230,1,-178.5,40.5,0,0,1,0
231,1,-178.5,39.5,0,0,1,0
232,1,-178.5,38.5,0,0,1,0
233,1,-178.5,37.5,0,0,1,0
234,1,-178.5,36.5,0,0,1,0
235,1,-178.5,35.5,0,0,1,0
236,1,-178.5,34.5,0,0,1,0
237,1,-178.5,33.5,0,0,1,0
238,1,-178.5,32.5,0,0,1,0
239,1,-178.5,31.5,0,0,1,0
240,1,-178.5,30.5,0,0,1,0
241,1,-178.5,29.5,0,0,1,0
242,1,-178.5,28.5,0,0,1,0
243,1,-178.5,27.5,0,0,1,0
244,1,-178.5,26.5,0,0,1,0
245,1,-178.5,25.5,0,0,1,0
246,1,-178.5,24.5,0,0,1,0
247,1,-178.5,23.5,0,0,1,0
248,1,-178.5,22.5,0,0,1,0
249,1,-178.5,21.5,0,0,1,0
250,1,-178.5,20.5,0,0,1,0
251,1,-178.5,19.5,0,0,1,0
252,1,-178.5,18.5,0,0,1,0
253,1,-178.5,17.5,0,0,1,0
254,1,-178.5,16.5,0,0,1,0
255,1,-178.5,15.5,0,0,1,0
256,1,-178.5,14.5,0,0,1,0
257,1,-178.5,13.5,0,0,1,0
258,1,-178.5,12.5,0,0,1,0
259,1,-178.5,11.5,0,0,1,0
