BigCellID,BigCellTypeID,x,y
740,1,-175.5,70.5
741,1,-175.5,69.5
742,1,-175.5,68.5
743,1,-175.5,67.5
745,1,-175.5,65.5
746,1,-175.5,64.5
747,1,-175.5,63.5
748,1,-175.5,62.5
749,1,-175.5,61.5
750,1,-175.5,60.5
751,1,-175.5,59.5
752,1,-175.5,58.5
753,1,-175.5,57.5
754,1,-175.5,56.5
755,1,-175.5,55.5
756,1,-175.5,54.5
757,1,-175.5,53.5
758,1,-175.5,52.5
759,1,-175.5,51.5
760,1,-175.5,50.5
761,1,-175.5,49.5
762,1,-175.5,48.5
763,1,-175.5,47.5
764,1,-175.5,46.5
765,1,-175.5,45.5
766,1,-175.5,44.5
767,1,-175.5,43.5
768,1,-175.5,42.5
769,1,-175.5,41.5
770,1,-175.5,40.5
771,1,-175.5,39.5
772,1,-175.5,38.5
773,1,-175.5,37.5
774,1,-175.5,36.5
775,1,-175.5,35.5
776,1,-175.5,34.5
777,1,-175.5,33.5
778,1,-175.5,32.5
779,1,-175.5,31.5
780,1,-175.5,30.5
781,1,-175.5,29.5
782,1,-175.5,28.5
783,1,-175.5,27.5
784,1,-175.5,26.5
785,1,-175.5,25.5
786,1,-175.5,24.5
787,1,-175.5,23.5
788,1,-175.5,22.5
789,1,-175.5,21.5
790,1,-175.5,20.5
791,1,-175.5,19.5
792,1,-175.5,18.5
793,1,-175.5,17.5
794,1,-175.5,16.5
795,1,-175.5,15.5
796,1,-175.5,14.5
797,1,-175.5,13.5
798,1,-175.5,12.5
799,1,-175.5,11.5
800,1,-175.5,10.5
801,1,-175.5,9.5
802,1,-175.5,8.5
803,1,-175.5,7.5
804,1,-175.5,6.5
805,1,-175.5,5.5
806,1,-175.5,4.5
807,1,-175.5,3.5
808,1,-175.5,2.5
809,1,-175.5,1.5
810,1,-175.5,0.5
811,1,-175.5,-0.5
812,1,-175.5,-1.5
813,1,-175.5,-2.5
814,1,-175.5,-3.5
815,1,-175.5,-4.5
816,1,-175.5,-5.5
817,1,-175.5,-6.5
818,1,-175.5,-7.5
819,1,-175.5,-8.5
820,1,-175.5,-9.5
821,1,-175.5,-10.5
822,1,-175.5,-11.5
823,1,-175.5,-12.5
824,1,-175.5,-13.5
825,1,-175.5,-14.5
826,1,-175.5,-15.5
827,1,-175.5,-16.5
828,1,-175.5,-17.5
829,1,-175.5,-18.5
830,1,-175.5,-19.5
831,1,-175.5,-20.5
832,1,-175.5,-21.5
833,1,-175.5,-22.5
834,1,-175.5,-23.5
835,1,-175.5,-24.5
836,1,-175.5,-25.5
837,1,-175.5,-26.5
838,1,-175.5,-27.5
839,1,-175.5,-28.5
840,1,-175.5,-29.5
841,1,-175.5,-30.5
842,1,-175.5,-31.5
843,1,-175.5,-32.5
844,1,-175.5,-33.5
845,1,-175.5,-34.5
846,1,-175.5,-35.5
847,1,-175.5,-36.5
848,1,-175.5,-37.5
849,1,-175.5,-38.5
850,1,-175.5,-39.5
851,1,-175.5,-40.5
852,1,-175.5,-41.5
853,1,-175.5,-42.5
854,1,-175.5,-43.5
855,1,-175.5,-44.5
856,1,-175.5,-45.5
857,1,-175.5,-46.5
858,1,-175.5,-47.5
859,1,-175.5,-48.5
860,1,-175.5,-49.5
861,1,-175.5,-50.5
862,1,-175.5,-51.5
863,1,-175.5,-52.5
864,1,-175.5,-53.5
865,1,-175.5,-54.5
866,1,-175.5,-55.5
867,1,-175.5,-56.5
868,1,-175.5,-57.5
869,1,-175.5,-58.5
870,1,-175.5,-59.5
871,1,-175.5,-60.5
872,1,-175.5,-61.5
873,1,-175.5,-62.5
874,1,-175.5,-63.5
875,1,-175.5,-64.5
876,1,-175.5,-65.5
877,1,-175.5,-66.5
878,1,-175.5,-67.5
879,1,-175.5,-68.5
880,1,-175.5,-69.5
881,1,-175.5,-70.5
882,1,-175.5,-71.5
883,1,-175.5,-72.5
884,1,-175.5,-73.5
885,1,-175.5,-74.5
886,1,-175.5,-75.5
887,1,-175.5,-76.5
888,1,-175.5,-77.5
889,1,-175.5,-78.5
890,1,-175.5,-79.5
891,1,-175.5,-80.5
892,1,-175.5,-81.5
893,1,-175.5,-82.5
894,1,-175.5,-83.5
895,1,-175.5,-84.5
918,1,-174.5,72.5
919,1,-174.5,71.5
920,1,-174.5,70.5
921,1,-174.5,69.5
922,1,-174.5,68.5
923,1,-174.5,67.5
924,1,-174.5,66.5
926,1,-174.5,64.5
927,1,-174.5,63.5
928,1,-174.5,62.5
929,1,-174.5,61.5
930,1,-174.5,60.5
931,1,-174.5,59.5
932,1,-174.5,58.5
933,1,-174.5,57.5
934,1,-174.5,56.5
935,1,-174.5,55.5
936,1,-174.5,54.5
937,1,-174.5,53.5
938,1,-174.5,52.5
939,1,-174.5,51.5
940,1,-174.5,50.5
941,1,-174.5,49.5
942,1,-174.5,48.5
943,1,-174.5,47.5
944,1,-174.5,46.5
945,1,-174.5,45.5
946,1,-174.5,44.5
947,1,-174.5,43.5
948,1,-174.5,42.5
949,1,-174.5,41.5
950,1,-174.5,40.5
951,1,-174.5,39.5
952,1,-174.5,38.5
953,1,-174.5,37.5
954,1,-174.5,36.5
955,1,-174.5,35.5
956,1,-174.5,34.5
957,1,-174.5,33.5
958,1,-174.5,32.5
959,1,-174.5,31.5
960,1,-174.5,30.5
961,1,-174.5,29.5
962,1,-174.5,28.5
963,1,-174.5,27.5
964,1,-174.5,26.5
965,1,-174.5,25.5
966,1,-174.5,24.5
967,1,-174.5,23.5
968,1,-174.5,22.5
969,1,-174.5,21.5
970,1,-174.5,20.5
971,1,-174.5,19.5
972,1,-174.5,18.5
973,1,-174.5,17.5
974,1,-174.5,16.5
975,1,-174.5,15.5
976,1,-174.5,14.5
977,1,-174.5,13.5
978,1,-174.5,12.5
979,1,-174.5,11.5
980,1,-174.5,10.5
981,1,-174.5,9.5
982,1,-174.5,8.5
983,1,-174.5,7.5
984,1,-174.5,6.5
985,1,-174.5,5.5
986,1,-174.5,4.5
987,1,-174.5,3.5
988,1,-174.5,2.5
989,1,-174.5,1.5
990,1,-174.5,0.5
991,1,-174.5,-0.5
992,1,-174.5,-1.5
993,1,-174.5,-2.5
994,1,-174.5,-3.5
995,1,-174.5,-4.5
996,1,-174.5,-5.5
997,1,-174.5,-6.5
998,1,-174.5,-7.5
999,1,-174.5,-8.5
1000,1,-174.5,-9.5
1001,1,-174.5,-10.5
1002,1,-174.5,-11.5
1003,1,-174.5,-12.5
1004,1,-174.5,-13.5
1005,1,-174.5,-14.5
1006,1,-174.5,-15.5
1007,1,-174.5,-16.5
1008,1,-174.5,-17.5
1009,1,-174.5,-18.5
1010,1,-174.5,-19.5
1011,1,-174.5,-20.5
1012,1,-174.5,-21.5
1013,1,-174.5,-22.5
1014,1,-174.5,-23.5
1015,1,-174.5,-24.5
1016,1,-174.5,-25.5
1017,1,-174.5,-26.5
1018,1,-174.5,-27.5
1019,1,-174.5,-28.5
1020,1,-174.5,-29.5
1021,1,-174.5,-30.5
1022,1,-174.5,-31.5
1023,1,-174.5,-32.5
1024,1,-174.5,-33.5
1025,1,-174.5,-34.5
1026,1,-174.5,-35.5
1027,1,-174.5,-36.5
1028,1,-174.5,-37.5
1029,1,-174.5,-38.5
1030,1,-174.5,-39.5
1031,1,-174.5,-40.5
1032,1,-174.5,-41.5
1033,1,-174.5,-42.5
1034,1,-174.5,-43.5
1035,1,-174.5,-44.5
1036,1,-174.5,-45.5
1037,1,-174.5,-46.5
1038,1,-174.5,-47.5
1039,1,-174.5,-48.5
1040,1,-174.5,-49.5
1041,1,-174.5,-50.5
1042,1,-174.5,-51.5
1043,1,-174.5,-52.5
1044,1,-174.5,-53.5
1045,1,-174.5,-54.5
1046,1,-174.5,-55.5
1047,1,-174.5,-56.5
1048,1,-174.5,-57.5
1049,1,-174.5,-58.5
1050,1,-174.5,-59.5
1051,1,-174.5,-60.5
1052,1,-174.5,-61.5
1053,1,-174.5,-62.5
1054,1,-174.5,-63.5
1055,1,-174.5,-64.5
1056,1,-174.5,-65.5
1057,1,-174.5,-66.5
1058,1,-174.5,-67.5
1059,1,-174.5,-68.5
1060,1,-174.5,-69.5
1061,1,-174.5,-70.5
1062,1,-174.5,-71.5
1063,1,-174.5,-72.5
1064,1,-174.5,-73.5
1065,1,-174.5,-74.5
1066,1,-174.5,-75.5
1067,1,-174.5,-76.5
1068,1,-174.5,-77.5
1069,1,-174.5,-78.5
1070,1,-174.5,-79.5
1071,1,-174.5,-80.5
1072,1,-174.5,-81.5
1073,1,-174.5,-82.5
1074,1,-174.5,-83.5
1075,1,-174.5,-84.5
1098,1,-173.5,72.5
1099,1,-173.5,71.5
1100,1,-173.5,70.5
1101,1,-173.5,69.5
1102,1,-173.5,68.5
1103,1,-173.5,67.5
1104,1,-173.5,66.5
1106,1,-173.5,64.5
1107,1,-173.5,63.5
1108,1,-173.5,62.5
1109,1,-173.5,61.5
1110,1,-173.5,60.5
1111,1,-173.5,59.5
1112,1,-173.5,58.5
1113,1,-173.5,57.5
1114,1,-173.5,56.5
1115,1,-173.5,55.5
1116,1,-173.5,54.5
1117,1,-173.5,53.5
1118,1,-173.5,52.5
1119,1,-173.5,51.5
1120,1,-173.5,50.5
1121,1,-173.5,49.5
1122,1,-173.5,48.5
1123,1,-173.5,47.5
1124,1,-173.5,46.5
1125,1,-173.5,45.5
1126,1,-173.5,44.5
1127,1,-173.5,43.5
1128,1,-173.5,42.5
1129,1,-173.5,41.5
1130,1,-173.5,40.5
1131,1,-173.5,39.5
1132,1,-173.5,38.5
1133,1,-173.5,37.5
1134,1,-173.5,36.5
1135,1,-173.5,35.5
1136,1,-173.5,34.5
1137,1,-173.5,33.5
1138,1,-173.5,32.5
1139,1,-173.5,31.5
1140,1,-173.5,30.5
1141,1,-173.5,29.5
1142,1,-173.5,28.5
1143,1,-173.5,27.5
1144,1,-173.5,26.5
1145,1,-173.5,25.5
1146,1,-173.5,24.5
1147,1,-173.5,23.5
1148,1,-173.5,22.5
1149,1,-173.5,21.5
1150,1,-173.5,20.5
1151,1,-173.5,19.5
1152,1,-173.5,18.5
1153,1,-173.5,17.5
1154,1,-173.5,16.5
1155,1,-173.5,15.5
1156,1,-173.5,14.5
1157,1,-173.5,13.5
1158,1,-173.5,12.5
1159,1,-173.5,11.5
1160,1,-173.5,10.5
1161,1,-173.5,9.5
1162,1,-173.5,8.5
1163,1,-173.5,7.5
1164,1,-173.5,6.5
1165,1,-173.5,5.5
1166,1,-173.5,4.5
1167,1,-173.5,3.5
1168,1,-173.5,2.5
1169,1,-173.5,1.5
1170,1,-173.5,0.5
1171,1,-173.5,-0.5
1172,1,-173.5,-1.5
1173,1,-173.5,-2.5
1174,1,-173.5,-3.5
1175,1,-173.5,-4.5
1176,1,-173.5,-5.5
1177,1,-173.5,-6.5
1178,1,-173.5,-7.5
1179,1,-173.5,-8.5
1180,1,-173.5,-9.5
1181,1,-173.5,-10.5
1182,1,-173.5,-11.5
1183,1,-173.5,-12.5
