Country,Area,Year,Sector,Gear,SpeciesCode,Catch
AUSTRALIA,Eastern Indian Ocean,1991,ART,GILL,COM,1
AUSTRALIA,Eastern Indian Ocean,1991,ART,GILL,KGX,9
AUSTRALIA,Eastern Indian Ocean,1991,ART,HAND,COM,144
AUSTRALIA,Eastern Indian Ocean,1991,ART,HAND,KGX,45
AUSTRALIA,Eastern Indian Ocean,1991,ART,HAND,LOT,13
AUSTRALIA,Eastern Indian Ocean,1991,ART,HAND,TUN,3
AUSTRALIA,Eastern Indian Ocean,1991,ART,HAND,YFT,1
AUSTRALIA,Eastern Indian Ocean,1991,IND,PS,KGX,4
AUSTRALIA,Eastern Indian Ocean,1991,IND,PS,SBF,2345
AUSTRALIA,Eastern Indian Ocean,1991,IND,PS,SKJ,761
AUSTRALIA,Eastern Indian Ocean,1991,IND,PS,TUN,1
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,ALB,35
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,COM,236
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,KAW,1
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,KGX,85
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,LOT,1
AUSTRALIA,Eastern Indian Ocean,1991,ART,TROL,SBF,57
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,ALB,3
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,COM,6
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,KGX,9
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,SBF,4
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,SKH,6000
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,SKJ,82
AUSTRALIA,Eastern Indian Ocean,1991,ART,UNCL,TUN,3
AUSTRALIA,Eastern Indian Ocean,1992,IND,BB,ALB,6
AUSTRALIA,Eastern Indian Ocean,1992,IND,BB,SKJ,16
AUSTRALIA,Eastern Indian Ocean,1992,IND,ELL,ALB,42
AUSTRALIA,Eastern Indian Ocean,1992,IND,ELL,BET,125
AUSTRALIA,Eastern Indian Ocean,1992,IND,ELL,SBF,575
AUSTRALIA,Eastern Indian Ocean,1992,IND,ELL,SWO,32
AUSTRALIA,Eastern Indian Ocean,1992,IND,ELL,YFT,14
AUSTRALIA,Eastern Indian Ocean,1992,ART,GILL,KGX,1
AUSTRALIA,Eastern Indian Ocean,1992,ART,GILL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1992,ART,HAND,COM,149
AUSTRALIA,Eastern Indian Ocean,1992,ART,HAND,KGX,26
AUSTRALIA,Eastern Indian Ocean,1992,ART,HAND,LOT,13
AUSTRALIA,Eastern Indian Ocean,1992,ART,HAND,TUN,19
AUSTRALIA,Eastern Indian Ocean,1992,IND,PS,ALB,1
AUSTRALIA,Eastern Indian Ocean,1992,IND,PS,KGX,11
AUSTRALIA,Eastern Indian Ocean,1992,IND,PS,SBF,1593
AUSTRALIA,Eastern Indian Ocean,1992,IND,PS,SKJ,318
AUSTRALIA,Eastern Indian Ocean,1992,IND,PS,TUN,8
AUSTRALIA,Eastern Indian Ocean,1992,ART,TROL,COM,171
AUSTRALIA,Eastern Indian Ocean,1992,ART,TROL,KGX,57
AUSTRALIA,Eastern Indian Ocean,1992,ART,TROL,SBF,16
AUSTRALIA,Eastern Indian Ocean,1992,ART,TROL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1992,ART,UNCL,COM,5
AUSTRALIA,Eastern Indian Ocean,1992,ART,UNCL,KGX,22
AUSTRALIA,Eastern Indian Ocean,1992,ART,UNCL,SKH,7603
AUSTRALIA,Eastern Indian Ocean,1992,ART,UNCL,SKJ,5891
AUSTRALIA,Eastern Indian Ocean,1992,ART,UNCL,TUN,7
AUSTRALIA,Eastern Indian Ocean,1993,IND,BB,ALB,8
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,ALB,93
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,BET,475
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,BUM,1
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,MLS,3
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,SBF,621
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,SWO,189
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1993,IND,ELL,YFT,87
AUSTRALIA,Eastern Indian Ocean,1993,ART,GILL,KGX,1
AUSTRALIA,Eastern Indian Ocean,1993,ART,HAND,COM,97
AUSTRALIA,Eastern Indian Ocean,1993,ART,HAND,KGX,34
AUSTRALIA,Eastern Indian Ocean,1993,ART,HAND,TUN,3
AUSTRALIA,Eastern Indian Ocean,1993,ART,HAND,YFT,3
AUSTRALIA,Eastern Indian Ocean,1993,IND,PS,ALB,2
AUSTRALIA,Eastern Indian Ocean,1993,IND,PS,KGX,8
AUSTRALIA,Eastern Indian Ocean,1993,IND,PS,SBF,1531
AUSTRALIA,Eastern Indian Ocean,1993,IND,PS,SKJ,29
AUSTRALIA,Eastern Indian Ocean,1993,IND,PS,TUN,10
AUSTRALIA,Eastern Indian Ocean,1993,ART,TROL,COM,344
AUSTRALIA,Eastern Indian Ocean,1993,ART,TROL,KGX,50
AUSTRALIA,Eastern Indian Ocean,1993,ART,TROL,TUN,2
AUSTRALIA,Eastern Indian Ocean,1993,ART,TROL,YFT,1
AUSTRALIA,Eastern Indian Ocean,1993,ART,UNCL,COM,4
AUSTRALIA,Eastern Indian Ocean,1993,ART,UNCL,KGX,18
AUSTRALIA,Eastern Indian Ocean,1993,ART,UNCL,SKH,8483
AUSTRALIA,Eastern Indian Ocean,1993,ART,UNCL,SKJ,3115
AUSTRALIA,Eastern Indian Ocean,1993,ART,UNCL,TUN,3
AUSTRALIA,Eastern Indian Ocean,1994,IND,BB,ALB,14
AUSTRALIA,Eastern Indian Ocean,1994,IND,BB,BET,4
AUSTRALIA,Eastern Indian Ocean,1994,IND,BB,SKJ,50
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,ALB,113
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,BET,142
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,BUM,33
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,MLS,9
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,SBF,480
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,SKJ,2
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,SWO,115
AUSTRALIA,Eastern Indian Ocean,1994,IND,ELL,YFT,642
AUSTRALIA,Eastern Indian Ocean,1994,ART,GILL,COM,6
AUSTRALIA,Eastern Indian Ocean,1994,ART,GILL,KGX,3
AUSTRALIA,Eastern Indian Ocean,1994,ART,GILL,TUN,1
AUSTRALIA,Eastern Indian Ocean,1994,ART,HAND,COM,23
AUSTRALIA,Eastern Indian Ocean,1994,ART,HAND,KGX,14
AUSTRALIA,Eastern Indian Ocean,1994,ART,HAND,LOT,2
AUSTRALIA,Eastern Indian Ocean,1994,ART,HAND,TUN,7
AUSTRALIA,Eastern Indian Ocean,1994,ART,HAND,YFT,4
AUSTRALIA,Eastern Indian Ocean,1994,IND,PS,SBF,2019
AUSTRALIA,Eastern Indian Ocean,1994,IND,PS,SKJ,1151
AUSTRALIA,Eastern Indian Ocean,1994,IND,PS,TUN,5
AUSTRALIA,Eastern Indian Ocean,1994,ART,TROL,COM,478
AUSTRALIA,Eastern Indian Ocean,1994,ART,TROL,KGX,104
AUSTRALIA,Eastern Indian Ocean,1994,ART,TROL,SKJ,1
AUSTRALIA,Eastern Indian Ocean,1994,ART,TROL,TUN,10
AUSTRALIA,Eastern Indian Ocean,1994,ART,TROL,YFT,1
AUSTRALIA,Eastern Indian Ocean,1994,ART,UNCL,COM,6
AUSTRALIA,Eastern Indian Ocean,1994,ART,UNCL,KGX,5
