FishingEntity,BigCellID,FishingEntityID,CountryGroupID
India,42579,82,2
India,42758,82,2
India,42578,82,2
India,42757,82,2
India,42756,82,2
India,42576,82,2
India,42577,82,2
India,42575,82,2
India,42755,82,2
India,42574,82,2
India,42754,82,2
India,42573,82,2
India,42753,82,2
India,42571,82,2
India,42751,82,2
India,42572,82,2
India,42752,82,2
India,42750,82,2
India,42570,82,2
India,42569,82,2
India,42749,82,2
India,42568,82,2
India,42748,82,2
India,42567,82,2
India,42747,82,2
India,42746,82,2
India,42566,82,2
India,42745,82,2
India,42565,82,2
India,42744,82,2
India,42564,82,2
India,42742,82,2
India,42562,82,2
India,42743,82,2
India,42563,82,2
India,42561,82,2
India,42741,82,2
India,42740,82,2
India,42560,82,2
India,42559,82,2
India,42739,82,2
India,42738,82,2
India,42558,82,2
India,42557,82,2
India,42737,82,2
India,42556,82,2
India,42736,82,2
India,42735,82,2
India,42555,82,2
India,42734,82,2
India,42553,82,2
India,42733,82,2
India,42554,82,2
India,42552,82,2
India,42732,82,2
India,42546,82,2
India,42726,82,2
India,42725,82,2
India,42724,82,2
India,42544,82,2
India,42545,82,2
India,42543,82,2
India,42945,82,2
India,42944,82,2
India,42943,82,2
India,42942,82,2
India,42940,82,2
India,42941,82,2
India,42939,82,2
India,42938,82,2
India,42936,82,2
India,42937,82,2
India,42935,82,2
India,42934,82,2
India,42933,82,2
India,42931,82,2
India,42932,82,2
India,42930,82,2
India,42929,82,2
India,42928,82,2
India,42927,82,2
India,42926,82,2
India,42925,82,2
India,42924,82,2
India,42922,82,2
India,42923,82,2
India,42921,82,2
India,42920,82,2
India,42918,82,2
India,42919,82,2
India,42917,82,2
India,42916,82,2
India,42915,82,2
India,42914,82,2
India,42913,82,2
India,42912,82,2
India,42911,82,2
India,42731,82,2
India,42730,82,2
India,42910,82,2
India,42907,82,2
India,42727,82,2
India,42906,82,2
India,42905,82,2
India,43125,82,2
India,43124,82,2
India,43123,82,2
India,43122,82,2
India,43121,82,2
India,43120,82,2
India,43119,82,2
India,43118,82,2
India,43116,82,2
India,43117,82,2
India,43115,82,2
India,43114,82,2
India,43113,82,2
India,43112,82,2
India,43111,82,2
India,43110,82,2
India,43109,82,2
India,43107,82,2
India,43108,82,2
India,43106,82,2
India,43105,82,2
India,43104,82,2
India,43102,82,2
India,43103,82,2
India,43101,82,2
India,43100,82,2
India,43099,82,2
India,43098,82,2
India,43097,82,2
India,43096,82,2
India,43095,82,2
India,43093,82,2
India,43094,82,2
India,43092,82,2
India,43091,82,2
India,42909,82,2
India,43090,82,2
India,43089,82,2
India,43087,82,2
India,43086,82,2
India,43085,82,2
India,43088,82,2
India,43303,82,2
India,43304,82,2
India,43302,82,2
India,43301,82,2
India,43300,82,2
India,43299,82,2
India,43298,82,2
India,43296,82,2
India,43297,82,2
India,43295,82,2
India,43294,82,2
India,43293,82,2
India,43291,82,2
India,43292,82,2
India,43290,82,2
India,43289,82,2
India,43287,82,2
India,43288,82,2
India,43286,82,2
India,43285,82,2
India,43284,82,2
India,43282,82,2
India,43283,82,2
India,43281,82,2
India,43280,82,2
India,43279,82,2
India,43278,82,2
India,43277,82,2
India,43276,82,2
India,43275,82,2
India,43273,82,2
India,43274,82,2
India,43272,82,2
India,43271,82,2
India,43270,82,2
India,43269,82,2
India,43268,82,2
India,43267,82,2
India,43266,82,2
India,43265,82,2
India,43663,82,2
India,43483,82,2
India,43664,82,2
India,43484,82,2
India,43482,82,2
India,43662,82,2
India,43480,82,2
India,43660,82,2
India,43661,82,2
India,43481,82,2
India,43479,82,2
India,43659,82,2
India,43658,82,2
India,43478,82,2
India,43656,82,2
India,43476,82,2
India,43657,82,2
India,43477,82,2
India,43475,82,2
India,43655,82,2
India,43654,82,2
India,43474,82,2
India,43473,82,2
India,43653,82,2
India,43651,82,2
India,43652,82,2
India,43472,82,2
India,43471,82,2
India,43470,82,2
India,43650,82,2
India,43469,82,2
India,43649,82,2
India,43467,82,2
India,43647,82,2
India,43648,82,2
India,43468,82,2
India,43466,82,2
India,43646,82,2
India,43645,82,2
India,43465,82,2
India,43644,82,2
India,43464,82,2
India,43642,82,2
India,43462,82,2
India,43643,82,2
India,43463,82,2
India,43461,82,2
India,43641,82,2
India,43460,82,2
India,43640,82,2
India,43458,82,2
India,43638,82,2
India,43639,82,2
India,43459,82,2
India,43637,82,2
India,43457,82,2
India,43636,82,2
India,43456,82,2
India,43635,82,2
India,43455,82,2
India,43634,82,2
India,43633,82,2
India,43454,82,2
India,43453,82,2
India,43632,82,2
India,43452,82,2
India,43631,82,2
India,43451,82,2
India,43630,82,2
India,43629,82,2
India,43450,82,2
India,43449,82,2
India,43628,82,2
India,43448,82,2
India,43627,82,2
India,43447,82,2
India,43626,82,2
India,43446,82,2
India,43843,82,2
India,43844,82,2
India,43842,82,2
India,43841,82,2
India,43840,82,2
India,43839,82,2
India,43838,82,2
India,43836,82,2
India,43837,82,2
India,43835,82,2
India,43834,82,2
India,43833,82,2
India,43831,82,2
India,43832,82,2
India,43830,82,2
India,43829,82,2
India,43827,82,2
India,43828,82,2
India,43826,82,2
India,43825,82,2
India,43824,82,2
India,43822,82,2
India,43823,82,2
India,43821,82,2
India,43820,82,2
India,43819,82,2
India,43818,82,2
India,43817,82,2
India,43816,82,2
