BigCellID,BigCellTypeID,x,y
657,1,-66.5,12.5
658,1,-66.5,13.5
659,1,-66.5,14.5
660,1,-66.5,15.5
661,1,-66.5,16.5
662,1,-66.5,17.5
663,1,-66.5,18.5
664,1,-66.5,19.5
665,1,-66.5,20.5
666,1,-66.5,21.5
667,1,-66.5,22.5
668,1,-66.5,23.5
669,1,-66.5,24.5
670,1,-66.5,25.5
671,1,-66.5,26.5
672,1,-66.5,27.5
673,1,-66.5,28.5
674,1,-66.5,29.5
675,1,-66.5,30.5
676,1,-66.5,31.5
677,1,-66.5,32.5
678,1,-66.5,33.5
679,1,-66.5,35.5
680,1,-66.5,36.5
681,1,-66.5,37.5
682,1,-66.5,38.5
683,1,-66.5,39.5
684,1,-66.5,40.5
685,1,-66.5,41.5
686,1,-66.5,42.5
687,1,-66.5,43.5
688,1,-66.5,44.5
689,1,-65.5,-53.5
690,1,-65.5,-52.5
691,1,-65.5,-51.5
692,1,-65.5,-50.5
693,1,-65.5,10.5
694,1,-65.5,11.5
695,1,-65.5,12.5
696,1,-65.5,13.5
697,1,-65.5,14.5
698,1,-65.5,15.5
699,1,-65.5,16.5
700,1,-65.5,17.5
701,1,-65.5,18.5
702,1,-65.5,19.5
703,1,-65.5,20.5
704,1,-65.5,21.5
705,1,-65.5,22.5
706,1,-65.5,23.5
707,1,-65.5,24.5
708,1,-65.5,25.5
709,1,-65.5,26.5
710,1,-65.5,27.5
711,1,-65.5,28.5
712,1,-65.5,29.5
713,1,-65.5,30.5
714,1,-65.5,31.5
715,1,-65.5,32.5
716,1,-65.5,33.5
717,1,-65.5,35.5
718,1,-65.5,36.5
719,1,-65.5,37.5
720,1,-65.5,38.5
721,1,-65.5,39.5
722,1,-65.5,40.5
723,1,-65.5,41.5
724,1,-65.5,42.5
725,1,-65.5,43.5
726,1,-65.5,44.5
727,1,-65.5,47.5
728,1,-65.5,48.5
729,1,-64.5,-53.5
730,1,-64.5,-52.5
731,1,-64.5,-51.5
732,1,-64.5,10.5
733,1,-64.5,11.5
734,1,-64.5,12.5
735,1,-64.5,13.5
736,1,-64.5,14.5
737,1,-64.5,15.5
738,1,-64.5,16.5
739,1,-64.5,17.5
740,1,-64.5,18.5
741,1,-64.5,19.5
742,1,-64.5,20.5
743,1,-64.5,21.5
744,1,-64.5,22.5
745,1,-64.5,23.5
746,1,-64.5,24.5
747,1,-64.5,25.5
748,1,-64.5,26.5
749,1,-64.5,27.5
750,1,-64.5,28.5
751,1,-64.5,29.5
752,1,-64.5,31.5
753,1,-64.5,32.5
754,1,-64.5,33.5
755,1,-64.5,35.5
756,1,-64.5,36.5
757,1,-64.5,37.5
758,1,-64.5,38.5
759,1,-64.5,39.5
760,1,-64.5,40.5
761,1,-64.5,42.5
762,1,-64.5,44.5
763,1,-64.5,46.5
764,1,-64.5,47.5
765,1,-64.5,48.5
766,1,-63.5,-52.5
767,1,-63.5,-51.5
768,1,-63.5,-49.5
769,1,-63.5,10.5
770,1,-63.5,11.5
771,1,-63.5,12.5
772,1,-63.5,13.5
773,1,-63.5,14.5
774,1,-63.5,15.5
775,1,-63.5,16.5
776,1,-63.5,17.5
777,1,-63.5,18.5
778,1,-63.5,19.5
779,1,-63.5,20.5
780,1,-63.5,21.5
781,1,-63.5,22.5
782,1,-63.5,23.5
783,1,-63.5,24.5
784,1,-63.5,25.5
785,1,-63.5,26.5
786,1,-63.5,27.5
787,1,-63.5,28.5
788,1,-63.5,31.5
789,1,-63.5,32.5
